good,prop_data,run,n_checklists,n_sightings,mse,auc,threshold,kappa,sensitivity,specificity,n_checklists_log,n_sightings_log
FALSE,1,9,60692,2807,0.09804,0.73677,0.06,0.22074,0.47034,0.82874,4.78313144915058,3.448242412634439
TRUE,0.1,10,944,102,0.12464,0.56369,0.7,0.15787,0.14831,0.96813,2.974971994298069,2.0086001717619175
FALSE,0.1,10,6069,305,0.10795,0.70202,0.08,0.17525,0.34746,0.86116,3.7831171374904673,2.484299839346786
TRUE,0.2,10,1889,220,0.12569,0.65992,0.025,0.23089,0.24153,0.95138,3.2762319579218335,2.342422680822206
FALSE,0.2,10,12138,574,0.10221,0.70416,0.23,0.18349,0.21186,0.94381,4.084147133154448,2.7589118923979736
TRUE,0.30000000000000004,10,2833,308,0.10199,0.76559,0.01,0.27899,0.33898,0.92815,3.452246574520437,2.4885507165004443
FALSE,0.30000000000000004,10,18208,860,0.10062,0.70167,0.09,0.19641,0.38983,0.85305,4.260262244714977,2.934498451243568
TRUE,0.4,10,3778,386,0.10942,0.74728000000000006,0.425,0.24639,0.22034,0.96867,3.577261953585815,2.586587304671755
FALSE,0.4,10,24277,1125,0.09836,0.73118,0.13,0.22863,0.34746,0.89681,4.38519501831988,3.0511525224473814
TRUE,0.5,10,4722,504,0.10977,0.78231,0.06,0.2766,0.32203,0.93463,3.674125982742708,2.7024305364455254
FALSE,0.5,10,30346,1396,0.09929,0.7189,0.16,0.19511,0.26695,0.9195,4.482101453486599,3.144885418287142
TRUE,0.6,10,5666,592,0.10614,0.78933,0.07,0.31287,0.33898,0.94381,3.7532765701844184,2.77232170672292
FALSE,0.6,10,36415,1699,0.09875,0.72246,0.09,0.21518,0.42373,0.84873,4.561280314290289,3.230193378869046
TRUE,0.7000000000000001,10,6611,709,0.10665,0.796,0.02,0.33513,0.45763,0.906,3.8202671571609645,2.8506462351830666
FALSE,0.7000000000000001,10,42484,1970,0.09889,0.72616,0.05,0.211,0.49576,0.80767,4.6282254001672145,3.294466226161593
TRUE,0.8,10,7555,841,0.10855,0.79004,0.07,0.33449,0.36864,0.94111,3.878234468675044,2.924795995797912
